python : import time: self [us] | cumulative | imported package
import time:      1176 |       1989 |                 sqlalchemy.pool.impl
import time:       802 |       7377 |               sqlalchemy.pool
import time:      1652 |       1652 |                     sqlalchemy.sql.roles
import time:      1233 |       1233 |                     sqlalchemy.inspection
import time:      3174 |       6058 |                   sqlalchemy.sql._typing
import time:      1881 |       1881 |                     sqlalchemy.sql.visitors
import time:      1946 |       1946 |                     sqlalchemy.sql.cache_key
import time:      1199 |       1199 |                       sqlalchemy.sql.operators
import time:      1078 |       2277 |                     sqlalchemy.sql.traversals
import time:      4094 |      10196 |                   sqlalchemy.sql.base
import time:      2386 |       2386 |                     sqlalchemy.sql.coercions
import time:       790 |        790 |                           sqlalchemy.sql.annotation
import time:      2492 |       2492 |                               sqlalchemy.sql.type_api
import time:      6694 |       9185 |                             sqlalchemy.sql.elements
import time:      1026 |       1026 |                             sqlalchemy.util.topological
import time:      2496 |      12706 |                           sqlalchemy.sql.ddl
import time:       767 |        767 |                                   _compat_pickle
import time:       143 |        143 |                                   _pickle
import time:      1463 |       2372 |                                 pickle
import time:       493 |        493 |                                   sqlalchemy.engine._py_processors
import time:       545 |       1037 |                                 sqlalchemy.engine.processors
import time:      4182 |       7590 |                               sqlalchemy.sql.sqltypes
import time:     10947 |      18537 |                             sqlalchemy.sql.selectable
import time:     23928 |      42465 |                           sqlalchemy.sql.schema
import time:      1277 |      57237 |                         sqlalchemy.sql.util
import time:      2544 |      59781 |                       sqlalchemy.sql.dml
import time:      1465 |      61245 |                     sqlalchemy.sql.crud
import time:      3916 |       3916 |                     sqlalchemy.sql.functions
import time:      6032 |      73578 |                   sqlalchemy.sql.compiler
import time:       587 |        587 |                     sqlalchemy.sql._dml_constructors
import time:       739 |        739 |                     sqlalchemy.sql._elements_constructors
import time:       689 |        689 |                     sqlalchemy.sql._selectable_constructors
import time:      1396 |       1396 |                     sqlalchemy.sql.lambdas
import time:      1107 |       4516 |                   sqlalchemy.sql.expression
import time:      1313 |       1313 |                   sqlalchemy.sql.default_comparator
import time:      1353 |       1353 |                     sqlalchemy.sql.events
import time:      1008 |       2361 |                   sqlalchemy.sql.naming
import time:      5819 |     103838 |                 sqlalchemy.sql
import time:        28 |     103865 |               sqlalchemy.sql.compiler
import time:      3204 |     119052 |             sqlalchemy.engine.interfaces
import time:      1162 |       1162 |             sqlalchemy.engine.util
import time:      1852 |     122066 |           sqlalchemy.engine.base
import time:      2776 |     124841 |         sqlalchemy.engine.events
import time:       595 |        595 |             sqlalchemy.dialects
import time:      1390 |       1985 |           sqlalchemy.engine.url
import time:       614 |        614 |           sqlalchemy.engine.mock
import time:      1501 |       4099 |         sqlalchemy.engine.create
